[1/50] Training MSE: 0.4556, CE: 0.2542, Accuracy: 30.85%
[1/50] Validation MSE: 0.1196, CE: 0.6941, Accuracy: 85.59%
[2/50] Training MSE: 0.1642, CE: 0.0418, Accuracy: 58.39%
[2/50] Validation MSE: 0.0715, CE: 0.5911, Accuracy: 88.57%
[3/50] Training MSE: 0.1205, CE: 0.0336, Accuracy: 65.01%
[3/50] Validation MSE: 0.0345, CE: 0.2396, Accuracy: 94.50%
[4/50] Training MSE: 0.1054, CE: 0.0308, Accuracy: 67.66%
[4/50] Validation MSE: 0.0279, CE: 0.2633, Accuracy: 94.53%
[5/50] Training MSE: 0.0991, CE: 0.0292, Accuracy: 69.60%
[5/50] Validation MSE: 0.0203, CE: 0.1760, Accuracy: 96.12%
[6/50] Training MSE: 0.0963, CE: 0.0284, Accuracy: 70.26%
[6/50] Validation MSE: 0.0202, CE: 0.2502, Accuracy: 94.23%
[7/50] Training MSE: 0.0950, CE: 0.0279, Accuracy: 70.67%
[7/50] Validation MSE: 0.0180, CE: 0.1660, Accuracy: 96.07%
[8/50] Training MSE: 0.0943, CE: 0.0269, Accuracy: 71.63%
[8/50] Validation MSE: 0.0174, CE: 0.2035, Accuracy: 94.14%
[9/50] Training MSE: 0.0936, CE: 0.0264, Accuracy: 72.18%
[9/50] Validation MSE: 0.0166, CE: 0.1596, Accuracy: 96.59%
[10/50] Training MSE: 0.0933, CE: 0.0262, Accuracy: 72.61%
[10/50] Validation MSE: 0.0156, CE: 0.1083, Accuracy: 97.28%
[11/50] Training MSE: 0.0931, CE: 0.0254, Accuracy: 73.15%
[11/50] Validation MSE: 0.0152, CE: 0.1439, Accuracy: 96.31%
[12/50] Training MSE: 0.0929, CE: 0.0253, Accuracy: 73.17%
[12/50] Validation MSE: 0.0149, CE: 0.1670, Accuracy: 95.38%
[13/50] Training MSE: 0.0928, CE: 0.0247, Accuracy: 73.81%
[13/50] Validation MSE: 0.0143, CE: 0.1156, Accuracy: 97.33%
[14/50] Training MSE: 0.0922, CE: 0.0245, Accuracy: 74.06%
[14/50] Validation MSE: 0.0145, CE: 0.1353, Accuracy: 96.64%
[15/50] Training MSE: 0.0882, CE: 0.0164, Accuracy: 81.94%
[15/50] Validation MSE: 0.0126, CE: 0.0616, Accuracy: 98.61%
[16/50] Training MSE: 0.0884, CE: 0.0178, Accuracy: 80.37%
[16/50] Validation MSE: 0.0115, CE: 0.0631, Accuracy: 98.38%
[17/50] Training MSE: 0.0882, CE: 0.0180, Accuracy: 80.37%
[17/50] Validation MSE: 0.0121, CE: 0.0808, Accuracy: 98.20%
[18/50] Training MSE: 0.0879, CE: 0.0179, Accuracy: 80.25%
[18/50] Validation MSE: 0.0120, CE: 0.0813, Accuracy: 98.26%
[19/50] Training MSE: 0.0878, CE: 0.0176, Accuracy: 80.69%
[19/50] Validation MSE: 0.0115, CE: 0.0661, Accuracy: 98.25%
[20/50] Training MSE: 0.0853, CE: 0.0137, Accuracy: 84.88%
[20/50] Validation MSE: 0.0115, CE: 0.0386, Accuracy: 99.11%
[21/50] Training MSE: 0.0856, CE: 0.0139, Accuracy: 84.57%
[21/50] Validation MSE: 0.0108, CE: 0.0453, Accuracy: 98.98%
